2023-06-21-17:10:17.982619 Motor1-0.0 Motor2-0.506 ImgX-432 ImgY-277 F-5616.0 Strain-?
2023-06-21-17:10:18.006557 Motor1-0.0 Motor2-0.346 ImgX-432 ImgY-277 F-5616.0 Strain-?
2023-06-21-17:10:18.072379 Motor1-0.0 Motor2-0.303 ImgX-424 ImgY-278 F-6000.0 Strain-?
2023-06-21-17:10:18.133751 Motor1-0.0 Motor2-0.132 ImgX-403 ImgY-277 F-7008.0 Strain-?
2023-06-21-17:10:18.191595 Motor1-0.0 Motor2-0.069 ImgX-394 ImgY-277 F-7440.0 Strain-?
2023-06-21-17:10:18.254432 Motor1-0.0 Motor2-0.067 ImgX-395 ImgY-278 F-7392.0 Strain-?
2023-06-21-17:10:18.325238 Motor1-0.0 Motor2-0.161 ImgX-393 ImgY-278 F-7488.0 Strain-?
2023-06-21-17:10:18.379094 Motor1-0.0 Motor2-0.374 ImgX-396 ImgY-277 F-7344.0 Strain-?
2023-06-21-17:10:18.441516 Motor1-0.0 Motor2-0.674 ImgX-406 ImgY-278 F-6864.0 Strain-?
2023-06-21-17:10:18.504107 Motor1-0.0 Motor2-0.978 ImgX-454 ImgY-277 F-4560.0 Strain-?
2023-06-21-17:10:18.566734 Motor1-0.0 Motor2-1.325 ImgX-478 ImgY-278 F-3408.0 Strain-?
2023-06-21-17:10:18.631557 Motor1-0.0 Motor2-1.537 ImgX-513 ImgY-277 F-1728.0 Strain-?
2023-06-21-17:10:18.695385 Motor1-0.0 Motor2-1.885 ImgX-543 ImgY-277 F-288.0 Strain-?
2023-06-21-17:10:18.757220 Motor1-0.0 Motor2-2.19 ImgX-549 ImgY-277 F-0.0 Strain-?
2023-06-21-17:10:18.818057 Motor1-0.0 Motor2-2.515 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:18.886906 Motor1-0.0 Motor2-2.716 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:18.942756 Motor1-0.0 Motor2-2.845 ImgX-551 ImgY-278 F--96.0 Strain-?
2023-06-21-17:10:19.004591 Motor1-0.0 Motor2-2.905 ImgX-552 ImgY-278 F--144.0 Strain-?
2023-06-21-17:10:19.068423 Motor1-0.0 Motor2-2.906 ImgX-552 ImgY-278 F--144.0 Strain-?
2023-06-21-17:10:19.130255 Motor1-0.0 Motor2-2.806 ImgX-552 ImgY-278 F--144.0 Strain-?
2023-06-21-17:10:19.194085 Motor1-0.0 Motor2-2.609 ImgX-552 ImgY-277 F--144.0 Strain-?
2023-06-21-17:10:19.256918 Motor1-0.0 Motor2-2.29 ImgX-551 ImgY-277 F--96.0 Strain-?
2023-06-21-17:10:19.318797 Motor1-0.0 Motor2-1.982 ImgX-551 ImgY-278 F--96.0 Strain-?
