5.2937 Motor1@0.0 Motor2@0.017 ImgX@343 ImgY@303 F@3000.0 Strain@0.0627
5.3246 Motor1@0.0 Motor2@0.015 ImgX@342 ImgY@303 F@3060.0 Strain@0.0624
5.3578 Motor1@0.0 Motor2@0.010 ImgX@342 ImgY@303 F@3060.0 Strain@0.0629
5.3871 Motor1@0.0 Motor2@0.007 ImgX@343 ImgY@304 F@3000.0 Strain@0.0637
5.4198 Motor1@0.0 Motor2@0.002 ImgX@343 ImgY@304 F@3000.0 Strain@0.06420000000000001
5.4501 Motor1@0.0 Motor2@-0.001 ImgX@340 ImgY@304 F@3180.0 Strain@0.063
5.4828 Motor1@0.0 Motor2@-0.004 ImgX@340 ImgY@304 F@3180.0 Strain@0.0633
5.5131 Motor1@0.0 Motor2@-0.006 ImgX@339 ImgY@304 F@3240.0 Strain@0.063
5.5448 Motor1@0.0 Motor2@-0.007 ImgX@339 ImgY@304 F@3240.0 Strain@0.0631
5.5741 Motor1@0.0 Motor2@-0.010 ImgX@340 ImgY@303 F@3180.0 Strain@0.0639
5.6058 Motor1@0.0 Motor2@-0.012 ImgX@340 ImgY@303 F@3180.0 Strain@0.0641
5.6386 Motor1@0.0 Motor2@-0.017 ImgX@338 ImgY@304 F@3300.0 Strain@0.0636
5.6698 Motor1@0.0 Motor2@-0.022 ImgX@338 ImgY@304 F@3300.0 Strain@0.0641
5.6991 Motor1@0.0 Motor2@-0.022 ImgX@338 ImgY@303 F@3300.0 Strain@0.0641
5.7333 Motor1@0.0 Motor2@-0.029 ImgX@338 ImgY@303 F@3300.0 Strain@0.0648
5.7641 Motor1@0.0 Motor2@-0.031 ImgX@337 ImgY@304 F@3360.0 Strain@0.0645
5.7953 Motor1@0.0 Motor2@-0.035 ImgX@337 ImgY@304 F@3360.0 Strain@0.0649
5.8251 Motor1@0.0 Motor2@-0.036 ImgX@337 ImgY@303 F@3360.0 Strain@0.065
5.8588 Motor1@0.0 Motor2@-0.039 ImgX@337 ImgY@303 F@3360.0 Strain@0.0653
5.8880 Motor1@0.0 Motor2@-0.041 ImgX@335 ImgY@304 F@3480.0 Strain@0.0645
5.9198 Motor1@0.0 Motor2@-0.045 ImgX@335 ImgY@304 F@3480.0 Strain@0.0649
5.9496 Motor1@0.0 Motor2@-0.049 ImgX@335 ImgY@303 F@3480.0 Strain@0.0653
5.9813 Motor1@0.0 Motor2@-0.053 ImgX@335 ImgY@303 F@3480.0 Strain@0.06570000000000001
6.0130 Motor1@0.0 Motor2@-0.055 ImgX@334 ImgY@304 F@3540.0 Strain@0.06540000000000001
6.0453 Motor1@0.0 Motor2@-0.060 ImgX@334 ImgY@304 F@3540.0 Strain@0.0659
6.0740 Motor1@0.0 Motor2@-0.063 ImgX@334 ImgY@304 F@3540.0 Strain@0.06620000000000001
6.1073 Motor1@0.0 Motor2@-0.065 ImgX@334 ImgY@304 F@3540.0 Strain@0.06640000000000001
6.1380 Motor1@0.0 Motor2@-0.068 ImgX@333 ImgY@304 F@3600.0 Strain@0.0662
6.1713 Motor1@0.0 Motor2@-0.070 ImgX@333 ImgY@304 F@3600.0 Strain@0.06639999999999999
6.2000 Motor1@0.0 Motor2@-0.074 ImgX@332 ImgY@303 F@3660.0 Strain@0.0663
6.2343 Motor1@0.0 Motor2@-0.079 ImgX@332 ImgY@303 F@3660.0 Strain@0.0668
6.2630 Motor1@0.0 Motor2@-0.083 ImgX@332 ImgY@304 F@3660.0 Strain@0.0672
6.2958 Motor1@0.0 Motor2@-0.086 ImgX@332 ImgY@304 F@3660.0 Strain@0.0675
6.3240 Motor1@0.0 Motor2@-0.089 ImgX@330 ImgY@303 F@3780.0 Strain@0.0668
6.3563 Motor1@0.0 Motor2@-0.092 ImgX@330 ImgY@303 F@3780.0 Strain@0.0671
6.3885 Motor1@0.0 Motor2@-0.094 ImgX@330 ImgY@303 F@3780.0 Strain@0.0673
6.4208 Motor1@0.0 Motor2@-0.096 ImgX@330 ImgY@303 F@3780.0 Strain@0.0675
6.4490 Motor1@0.0 Motor2@-0.098 ImgX@330 ImgY@304 F@3780.0 Strain@0.06770000000000001
6.4823 Motor1@0.0 Motor2@-0.100 ImgX@330 ImgY@304 F@3780.0 Strain@0.0679
6.5125 Motor1@0.0 Motor2@-0.105 ImgX@330 ImgY@304 F@3780.0 Strain@0.06839999999999999
6.5452 Motor1@0.0 Motor2@-0.109 ImgX@330 ImgY@304 F@3780.0 Strain@0.06880000000000001
6.5740 Motor1@0.0 Motor2@-0.113 ImgX@329 ImgY@303 F@3840.0 Strain@0.06870000000000001
6.6058 Motor1@0.0 Motor2@-0.116 ImgX@329 ImgY@303 F@3840.0 Strain@0.06899999999999999
6.6375 Motor1@0.0 Motor2@-0.120 ImgX@328 ImgY@303 F@3900.0 Strain@0.0689
