2023-08-15-16:38:46.129729 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.190753 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:46.254437 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:46.316933 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@141 F@1020.0 Strain@0.093
2023-08-15-16:38:46.377539 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.441667 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.505658 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.568644 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.629872 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.692366 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.755854 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:46.816366 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:46.879085 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:46.943069 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:47.005069 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.068062 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.128573 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@141 F@980.0 Strain@0.094
2023-08-15-16:38:47.190077 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:47.256240 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:47.317248 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.379763 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:47.442467 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:47.502979 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.565636 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.629116 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:47.692602 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.753611 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.818090 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:47.881083 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:47.941595 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.003820 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.067805 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.129806 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@140 F@1020.0 Strain@0.093
2023-08-15-16:38:48.191805 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.255293 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:48.315804 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:48.378335 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:48.442961 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:48.504688 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.568817 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:48.630322 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.691825 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:48.753388 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.817891 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.879395 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@141 F@1000.0 Strain@0.0935
2023-08-15-16:38:48.942387 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:49.005469 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.066692 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:49.130676 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.194163 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:49.254676 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.317667 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@139 F@980.0 Strain@0.094
2023-08-15-16:38:49.377684 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.440676 Motor1@0.0 Motor2@-1.288 ImgX@271 ImgY@140 F@960.0 Strain@0.0945
2023-08-15-16:38:49.503669 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.567652 Motor1@0.0 Motor2@-1.288 ImgX@268 ImgY@139 F@1020.0 Strain@0.093
2023-08-15-16:38:49.630149 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@140 F@1000.0 Strain@0.0935
2023-08-15-16:38:49.692287 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
2023-08-15-16:38:49.755287 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.816365 Motor1@0.0 Motor2@-1.288 ImgX@270 ImgY@140 F@980.0 Strain@0.094
2023-08-15-16:38:49.879889 Motor1@0.0 Motor2@-1.288 ImgX@269 ImgY@139 F@1000.0 Strain@0.0935
